Name;MP;Area;County;Electorate;CON;LAB;LIB;Reform;Green;NAT;MIN;OTH;CON chance;LAB chance;LIB chance;Reform chance;Green chance;NAT chance;MIN chance;OTH chance
Melksham and Devizes;Unknown (CON gain from LIB);10;Wiltshire;71999;14546;4073;13598;12832;3690;0;0;1897;0.425;0.001;0.332;0.241;0.001;0.000;0.000;0.000
Melton and Syston;Unknown (Reform gain from CON);8;Leicestershire;74316;16331;4535;2158;17506;3669;0;0;1589;0.345;0.022;0.001;0.629;0.001;0.000;0.000;0.000
Meriden and Solihull East;Saqib Bhatti;7;Coventry and Solihull;73659;17853;3981;2212;16100;2652;0;0;1698;0.479;0.024;0.002;0.493;0.001;0.000;0.000;0.000
Middlesbrough and Thornaby East;Unknown (Reform gain from LAB);3;Teesside;75123;4017;8990;1628;12614;5362;0;3048;331;0.013;0.237;0.000;0.710;0.040;0.000;0.000;0.000
Middlesbrough South and East Cleveland;Unknown (Reform gain from LAB);3;Teesside;70328;11445;7501;3044;12035;3374;0;0;1163;0.433;0.111;0.001;0.454;0.001;0.000;0.000;0.000
Milton Keynes Central;Unknown (Reform gain from LAB);12;Buckinghamshire;81078;10604;9772;6310;11178;9507;0;0;1424;0.262;0.202;0.037;0.329;0.169;0.000;0.000;0.000
Milton Keynes North;Unknown (Reform gain from LAB);12;Buckinghamshire;70709;9895;9351;5036;11490;7279;0;0;1296;0.294;0.212;0.020;0.404;0.069;0.000;0.000;0.000
Mitcham and Morden;Siobhain McDonagh;11;Merton;77272;5218;12943;3235;8882;10435;0;2945;503;0.019;0.569;0.001;0.148;0.263;0.000;0.000;0.000
Morecambe and Lunesdale;Unknown (Reform gain from LAB);4;Lancashire;76424;9749;10145;6825;14479;6442;0;0;1027;0.145;0.211;0.018;0.599;0.027;0.000;0.000;0.000
New Forest East;Julian Lewis;12;Hampshire;70618;18803;2962;3352;16843;2240;0;0;1856;0.515;0.002;0.017;0.466;0.000;0.000;0.000;0.000
New Forest West;Desmond Swayne;12;Hampshire;68644;17686;4226;4288;16033;2331;0;0;1881;0.440;0.019;0.044;0.496;0.000;0.000;0.000;0.000
Newark;Robert Jenrick;8;Nottinghamshire;80028;19635;6339;2904;18175;3221;0;277;1334;0.451;0.043;0.001;0.504;0.001;0.000;0.000;0.000
Newbury;Lee Raymond James Dillon;12;Berkshire;71986;13265;3209;14416;12395;4013;0;0;1489;0.310;0.001;0.460;0.228;0.001;0.000;0.000;0.000
Newcastle upon Tyne Central and West;Unknown (Reform gain from LAB);3;Newcastle area;76969;3717;10329;2937;12411;8708;0;0;3359;0.005;0.365;0.001;0.470;0.156;0.000;0.000;0.002
Newcastle upon Tyne East and Wallsend;Unknown (Reform gain from LAB);3;Newcastle area;76421;3406;11349;3158;12697;10264;0;1435;1069;0.003;0.348;0.001;0.447;0.200;0.000;0.000;0.000
Newcastle upon Tyne North;Catherine McKinnell;3;Newcastle area;75146;6246;13737;5738;10196;11657;0;0;1710;0.024;0.518;0.010;0.171;0.275;0.000;0.000;0.000
Newcastle-under-Lyme;Unknown (Reform gain from LAB);7;Staffordshire;67839;7901;8356;4204;14390;5109;0;0;1427;0.123;0.117;0.002;0.745;0.012;0.000;0.000;0.000
Newton Abbot;Martin Wrigley;10;Devon;73885;5686;2424;18895;17842;2544;0;0;1872;0.073;0.004;0.472;0.449;0.001;0.000;0.000;0.000
Newton Aycliffe and Spennymoor;Unknown (Reform gain from LAB);3;Durham;72224;2150;15652;763;16607;1501;0;1053;642;0.019;0.353;0.000;0.622;0.005;0.000;0.000;0.000
Norfolk Mid;Unknown (Reform gain from CON);9;Norfolk;75238;15035;5664;3086;18087;2775;0;0;1902;0.300;0.024;0.001;0.673;0.002;0.000;0.000;0.000
Norfolk North;Unknown (Reform gain from LIB);9;Norfolk;71438;11379;2797;13789;14488;2452;0;0;1362;0.138;0.001;0.414;0.446;0.000;0.000;0.000;0.000
Norfolk North West;Unknown (Reform gain from CON);9;Norfolk;74415;16307;3139;2768;20161;1872;0;0;1470;0.206;0.001;0.003;0.789;0.000;0.000;0.000;0.000
Norfolk South;Unknown (Reform gain from LAB);9;Norfolk;74135;10987;9809;7864;12974;7227;0;0;1677;0.283;0.151;0.063;0.463;0.039;0.000;0.000;0.000
Norfolk South West;Unknown (Reform gain from LAB);9;Norfolk;74724;8707;6833;3777;14469;3742;0;7261;373;0.165;0.052;0.009;0.750;0.008;0.000;0.016;0.000
Normanton and Hemsworth;Unknown (Reform gain from LAB);5;West Yorkshire;75645;1511;15072;633;19976;1479;0;0;1768;0.002;0.192;0.000;0.801;0.004;0.000;0.000;0.000
Northampton North;Lucy Rigby;8;Northamptonshire;75575;4210;13833;1798;12377;4311;0;1740;672;0.062;0.435;0.002;0.424;0.077;0.000;0.000;0.000
Northampton South;Unknown (Reform gain from LAB);8;Northamptonshire;70393;7974;8896;4509;11660;6479;0;0;906;0.150;0.247;0.009;0.537;0.057;0.000;0.000;0.000
Northamptonshire South;Sarah Bool;8;Northamptonshire;78233;17250;7124;4221;16090;3942;0;353;1416;0.473;0.080;0.005;0.437;0.004;0.000;0.000;0.000
Northumberland North;David Smith;3;Northumberland;74132;6809;15219;4446;13875;3940;0;0;2482;0.129;0.485;0.018;0.351;0.016;0.000;0.000;0.000
Norwich North;Alice Macdonald;9;Norfolk;73721;4950;16052;2357;15426;5099;0;0;2439;0.061;0.417;0.003;0.449;0.069;0.000;0.000;0.000
Norwich South;Unknown (Green gain from LAB);9;Norfolk;76381;4058;11574;3933;11622;16201;0;0;2333;0.004;0.158;0.002;0.138;0.696;0.000;0.000;0.000
Nottingham East;Unknown (Green gain from LAB);8;Nottinghamshire;69395;2943;10095;1896;6407;12109;0;2336;459;0.004;0.326;0.000;0.058;0.610;0.000;0.000;0.000
Nottingham North and Kimberley;Unknown (Reform gain from LAB);8;Nottinghamshire;73768;4789;9311;2010;12017;6736;0;0;1509;0.021;0.322;0.000;0.583;0.073;0.000;0.000;0.000
Nottingham South;Unknown (Reform gain from LAB);8;Nottinghamshire;64255;4016;8301;2169;8518;8224;0;2043;459;0.021;0.337;0.000;0.352;0.289;0.000;0.000;0.000
Nuneaton;Unknown (Reform gain from LAB);7;Warwickshire;71662;8290;7460;3278;14993;5723;0;3396;0;0.104;0.058;0.003;0.817;0.017;0.000;0.000;0.000
Old Bexley and Sidcup;Louie French;11;Bexley;72290;19333;4565;1927;16269;2450;0;0;1941;0.565;0.032;0.000;0.399;0.003;0.000;0.000;0.000
Oldham East and Saddleworth;Unknown (Reform gain from LAB);4;Eastern Manchester;72760;5503;7859;3574;11092;6126;0;3973;893;0.052;0.255;0.010;0.600;0.081;0.000;0.000;0.000
Oldham West, Chadderton and Royton;Unknown (Reform gain from LAB);4;Eastern Manchester;73178;3345;7139;2071;10446;6637;0;0;5221;0.009;0.211;0.002;0.570;0.146;0.000;0.000;0.060
Orpington;Gareth Bacon;11;Bromley;71203;19630;4318;2678;14600;2361;0;0;1844;0.646;0.045;0.007;0.299;0.001;0.000;0.000;0.000
Ossett and Denby Dale;Unknown (Reform gain from LAB);5;West Yorkshire;72312;8312;9929;3831;14340;5893;0;0;1339;0.096;0.219;0.001;0.665;0.018;0.000;0.000;0.000
Oxford East;Unknown (Green gain from LAB);12;Oxfordshire;71845;3842;10891;3596;6906;13114;0;2004;2009;0.013;0.299;0.007;0.065;0.616;0.000;0.000;0.000
Oxford West and Abingdon;Layla Moran;12;Oxfordshire;71318;7172;5553;16295;8972;8842;0;0;2055;0.032;0.014;0.804;0.071;0.077;0.000;0.000;0.000
Peckham;Unknown (Green gain from LAB);11;Southwark;72123;2406;12015;2273;6234;14517;0;0;1324;0.000;0.298;0.000;0.018;0.682;0.000;0.000;0.000
Pendle and Clitheroe;Unknown (CON gain from LAB);4;Lancashire;78796;16357;6091;2260;14423;3437;0;357;2030;0.482;0.090;0.001;0.418;0.007;0.000;0.000;0.000
Penistone and Stocksbridge;Unknown (Reform gain from LAB);5;South Yorkshire;70770;8688;10080;4206;13143;5562;0;0;1388;0.125;0.280;0.003;0.571;0.020;0.000;0.000;0.000
Penrith and Solway;Unknown (Reform gain from LAB);4;Cumbria;77935;10034;10972;6224;15013;6026;0;0;1210;0.142;0.235;0.009;0.597;0.015;0.000;0.000;0.000
Peterborough;Unknown (CON gain from LAB);9;Cambridgeshire;73378;13939;3870;1243;12103;3164;0;5293;256;0.433;0.050;0.005;0.494;0.013;0.000;0.004;0.000
Plymouth Moor View;Unknown (Reform gain from LAB);10;Devon;74724;8021;8356;3761;17629;4910;0;0;1608;0.064;0.066;0.004;0.860;0.006;0.000;0.000;0.000
Plymouth Sutton and Devonport;Unknown (Reform gain from LAB);10;Devon;75313;4275;13034;2453;15101;6622;0;1077;2032;0.014;0.356;0.002;0.560;0.068;0.000;0.000;0.000
Pontefract, Castleford and Knottingley;Unknown (Reform gain from LAB);5;West Yorkshire;74618;1599;14669;617;19401;1446;0;0;1808;0.002;0.184;0.000;0.808;0.005;0.000;0.000;0.000
Poole;Unknown (CON gain from LAB);10;Dorset;72509;18544;4038;2533;16318;2418;0;0;1893;0.496;0.018;0.007;0.477;0.001;0.000;0.000;0.000
Poplar and Limehouse;Unknown (Green gain from LAB);11;Tower Hamlets;84469;4278;9272;3645;6150;14984;0;3959;739;0.009;0.142;0.001;0.041;0.806;0.000;0.000;0.000
Portsmouth North;Unknown (CON gain from LAB);12;Hampshire;70446;16873;3825;1747;16444;2341;0;0;1631;0.442;0.010;0.002;0.545;0.000;0.000;0.000;0.000
Portsmouth South;Unknown (Reform gain from LAB);12;Hampshire;73711;5114;9606;4881;10822;9155;0;0;2209;0.033;0.305;0.026;0.386;0.247;0.000;0.000;0.001
Preston;Unknown (Reform gain from LAB);4;Lancashire;77400;4353;7734;2827;9692;7901;0;6122;538;0.023;0.243;0.003;0.473;0.234;0.000;0.024;0.000
Putney;Fleur Anderson;11;Wandsworth;72614;8650;14340;5895;5575;10821;0;1988;690;0.090;0.627;0.014;0.027;0.241;0.000;0.000;0.000
Queen's Park and Maida Vale;Unknown (Green gain from LAB);11;City of Westminster;75558;3692;10845;2719;6602;11792;0;2825;487;0.008;0.395;0.002;0.070;0.524;0.000;0.000;0.000
Rawmarsh and Conisbrough;Unknown (Reform gain from LAB);5;South Yorkshire;69132;1316;13389;472;16518;1392;0;2774;0;0.001;0.216;0.000;0.780;0.003;0.000;0.000;0.000
Rayleigh and Wickford;Unknown (Reform gain from CON);9;Essex;76576;18515;3204;2371;22542;1956;0;0;1458;0.268;0.001;0.001;0.730;0.000;0.000;0.000;0.000
Reading Central;Unknown (Green gain from LAB);12;Berkshire;73600;6723;11979;4296;8019;13007;0;0;1864;0.044;0.355;0.012;0.079;0.508;0.000;0.000;0.000
Reading West and Mid Berkshire;Unknown (CON gain from LAB);12;Berkshire;68786;15183;7653;4361;12376;4621;0;0;1992;0.580;0.101;0.014;0.288;0.016;0.000;0.000;0.000
Redcar;Unknown (Reform gain from LAB);3;Teesside;70241;8891;8090;2345;14188;3465;0;0;1235;0.160;0.092;0.001;0.743;0.004;0.000;0.000;0.000
Redditch;Unknown (Reform gain from LAB);7;Hereford and Worcestershire;71038;13940;5468;1766;15857;2757;0;3680;0;0.309;0.025;0.000;0.665;0.000;0.000;0.000;0.000
Reigate;Rebecca Paul;12;Surrey;77101;17544;6911;4964;15714;5470;0;0;1695;0.451;0.063;0.023;0.445;0.018;0.000;0.000;0.000
Ribble Valley;Unknown (CON gain from LAB);4;Lancashire;80484;16883;9591;4263;15039;3994;0;0;1919;0.497;0.133;0.003;0.364;0.003;0.000;0.000;0.000
Richmond and Northallerton;Rishi Sunak;5;North Yorkshire;73888;21671;4160;2590;15562;2273;0;244;1454;0.751;0.016;0.001;0.231;0.000;0.000;0.000;0.000
Richmond Park;Sarah Olney;11;Richmond upon Thames;68103;9343;5118;20870;6196;8118;0;0;1454;0.028;0.002;0.940;0.008;0.020;0.000;0.000;0.000
Rochdale;Unknown (Reform gain from LAB);4;Eastern Manchester;71264;3309;7033;2319;8457;6488;0;7033;0;0.013;0.240;0.002;0.473;0.165;0.000;0.106;0.000
Rochester and Strood;Unknown (Reform gain from LAB);12;Kent;74257;8474;6774;3653;15889;5120;0;1412;627;0.134;0.023;0.003;0.829;0.010;0.000;0.000;0.000
Romford;Andrew Rosindell;11;Havering;72978;16724;3848;1580;15508;2324;0;2992;334;0.428;0.019;0.000;0.552;0.001;0.000;0.000;0.000
Romsey and Southampton North;Caroline Nokes;12;Hampshire;71871;14716;3895;13252;12211;3662;0;0;1549;0.462;0.000;0.335;0.202;0.000;0.000;0.000;0.000
Rossendale and Darwen;Unknown (Reform gain from LAB);4;Lancashire;74440;8287;9469;3278;14507;6519;0;2350;0;0.080;0.175;0.002;0.712;0.031;0.000;0.000;0.000
Rother Valley;Unknown (Reform gain from LAB);5;South Yorkshire;69460;9808;8249;2716;14482;3616;0;0;1088;0.237;0.065;0.002;0.693;0.003;0.000;0.000;0.000
Rotherham;Unknown (Reform gain from LAB);5;South Yorkshire;75929;1715;8917;2552;14815;6089;0;2168;1322;0.001;0.211;0.001;0.752;0.035;0.000;0.000;0.000
Rugby;Unknown (Reform gain from LAB);7;Warwickshire;74901;13392;9861;3997;14983;4665;0;0;1942;0.421;0.105;0.002;0.466;0.004;0.000;0.000;0.001
Ruislip, Northwood and Pinner;David Simmonds;11;Hillingdon;71683;16518;8685;5797;8739;4695;0;0;1703;0.861;0.066;0.008;0.056;0.007;0.000;0.000;0.000
Runcorn and Helsby;Mike Amesbury;4;Cheshire;71955;1940;20260;824;16645;2140;0;0;1815;0.006;0.583;0.001;0.376;0.033;0.000;0.000;0.000
Runnymede and Weybridge;Ben Spencer;12;Surrey;73610;20223;3654;4710;15136;2579;0;0;1765;0.559;0.008;0.076;0.354;0.002;0.000;0.000;0.000
Rushcliffe;James William Naish;8;Nottinghamshire;79160;14214;15705;4476;11348;8453;0;0;1560;0.332;0.482;0.003;0.148;0.034;0.000;0.000;0.000
Rutland and Stamford;Alicia Kearns;8;Leicestershire;71711;21739;3735;3070;15234;2564;0;0;1153;0.762;0.006;0.004;0.226;0.001;0.000;0.000;0.000
Salford;Unknown (Green gain from LAB);4;Central Manchester;83633;3388;11237;2475;10400;12450;0;2392;381;0.001;0.292;0.000;0.233;0.473;0.000;0.000;0.000
Salisbury;John Glen;10;Wiltshire;71553;14650;8145;8717;11934;4031;0;0;2076;0.584;0.065;0.107;0.239;0.003;0.000;0.000;0.001
Scarborough and Whitby;Unknown (Reform gain from LAB);5;North Yorkshire;74558;8511;9735;4321;15523;5299;0;0;1342;0.099;0.170;0.001;0.721;0.008;0.000;0.000;0.000
Scunthorpe;Unknown (Reform gain from LAB);5;Humber area;74263;8016;8235;3121;14405;4977;0;0;1484;0.119;0.123;0.000;0.747;0.011;0.000;0.000;0.000
Sefton Central;Bill Esterson;4;Merseyside;74282;2391;24377;961;16644;2044;0;0;1552;0.008;0.823;0.000;0.159;0.009;0.000;0.000;0.000
Selby;Keir Mather;5;North Yorkshire;78055;5692;18185;2008;17680;3471;0;0;1639;0.081;0.471;0.000;0.434;0.014;0.000;0.000;0.000
Sevenoaks;Laura Trott;12;Kent;73708;15914;4257;8879;15702;3077;0;0;2085;0.471;0.005;0.100;0.423;0.000;0.000;0.000;0.000
Sheffield Brightside and Hillsborough;Unknown (Green gain from LAB);5;South Yorkshire;70453;2659;8422;1840;7075;9674;0;2133;1063;0.007;0.316;0.000;0.172;0.504;0.000;0.000;0.000
Sheffield Central;Unknown (Green gain from LAB);5;South Yorkshire;60777;1526;8411;1739;3684;20626;0;579;860;0.000;0.010;0.000;0.000;0.990;0.000;0.000;0.000
Sheffield Hallam;Olivia Blake;5;South Yorkshire;73033;5191;15155;11412;5417;12971;0;470;973;0.006;0.530;0.163;0.016;0.284;0.000;0.000;0.000
Sheffield Heeley;Unknown (Green gain from LAB);5;South Yorkshire;73359;3828;11282;3547;7566;12107;0;835;1223;0.005;0.403;0.004;0.092;0.495;0.000;0.000;0.000
Sheffield South East;Clive Betts;5;South Yorkshire;74194;4913;9774;3444;8716;7677;0;1311;1371;0.034;0.477;0.008;0.289;0.191;0.000;0.000;0.000
Sherwood Forest;Unknown (Reform gain from LAB);8;Nottinghamshire;78894;9433;9796;4486;17411;6276;0;0;1383;0.104;0.118;0.001;0.762;0.014;0.000;0.000;0.000
Shipley;Anna Dixon;5;West Yorkshire;74130;8575;12262;4151;11538;9199;0;527;1047;0.101;0.437;0.003;0.331;0.126;0.000;0.000;0.000
Shrewsbury;Unknown (Reform gain from LAB);7;Shropshire;76633;9515;11965;7752;13172;6964;0;0;1930;0.154;0.360;0.044;0.411;0.030;0.000;0.000;0.000
Shropshire North;Helen Morgan;7;Shropshire;77594;6085;1995;22832;16423;2435;0;0;2016;0.043;0.000;0.774;0.182;0.001;0.000;0.000;0.000
Shropshire South;Unknown (Reform gain from CON);7;Shropshire;76723;16749;4162;8611;17730;2638;0;0;1558;0.422;0.001;0.066;0.510;0.000;0.000;0.000;0.000
Sittingbourne and Sheppey;Unknown (Reform gain from LAB);12;Kent;79067;8403;6277;3797;18694;4449;0;0;2691;0.090;0.010;0.002;0.895;0.003;0.000;0.000;0.000
Skipton and Ripon;Unknown (Reform gain from CON);5;North Yorkshire;79251;15070;8723;4857;17165;4887;0;0;1435;0.378;0.064;0.005;0.547;0.005;0.000;0.000;0.000
Sleaford and North Hykeham;Unknown (Reform gain from CON);8;Lincolnshire;75807;17429;4522;2076;18632;2481;0;0;1921;0.350;0.019;0.000;0.631;0.000;0.000;0.000;0.000
Slough;Unknown (MIN gain from LAB);12;Berkshire;81512;6293;7530;2681;5466;7809;0;11678;0;0.104;0.185;0.023;0.126;0.169;0.000;0.392;0.000
Smethwick;Unknown (Reform gain from LAB);7;Black Country;72863;3257;10126;1639;10717;5053;0;3358;1264;0.019;0.394;0.002;0.491;0.092;0.000;0.001;0.000
Solihull West and Shirley;Neil Shastri-Hurst;7;Coventry and Solihull;71813;19084;3819;3195;13453;3300;0;3361;0;0.546;0.031;0.024;0.387;0.011;0.000;0.000;0.000
Somerset North;Unknown (Reform gain from LAB);10;Bristol area;74426;13561;11050;6226;13574;5914;0;3031;0;0.403;0.156;0.023;0.405;0.013;0.000;0.000;0.000
Somerset North East and Hanham;Unknown (Reform gain from LAB);10;Bristol area;73887;11422;10577;6839;13735;7195;0;0;1646;0.312;0.179;0.040;0.433;0.036;0.000;0.000;0.000
South Holland and The Deepings;Unknown (Reform gain from CON);8;Lincolnshire;78473;16162;2990;1691;20633;1765;0;0;2366;0.246;0.005;0.000;0.749;0.000;0.000;0.000;0.000
South Ribble;Unknown (Reform gain from LAB);4;Lancashire;73420;9664;10892;5019;14465;5752;0;0;1177;0.139;0.256;0.003;0.592;0.009;0.000;0.000;0.000
South Shields;Unknown (Reform gain from LAB);3;Newcastle area;68366;3238;8929;2570;14358;8126;0;0;2317;0.003;0.207;0.001;0.687;0.102;0.000;0.000;0.000
Southampton Itchen;Unknown (Reform gain from LAB);12;Hampshire;68379;7137;8796;3498;11354;6193;0;0;2219;0.125;0.267;0.017;0.535;0.055;0.000;0.000;0.000
Southampton Test;Unknown (Reform gain from LAB);12;Hampshire;65520;4742;8393;2967;10084;7865;0;2758;747;0.032;0.285;0.009;0.483;0.189;0.000;0.000;0.000
Southend East and Rochford;Unknown (Reform gain from LAB);9;Essex;70217;7971;7659;4254;13710;5827;0;0;1547;0.138;0.097;0.011;0.724;0.029;0.000;0.000;0.000
Southend West and Leigh;Unknown (Reform gain from LAB);9;Essex;75154;13056;8286;3491;15314;4802;0;0;2169;0.395;0.070;0.004;0.525;0.006;0.000;0.000;0.000
Southgate and Wood Green;Bambos Charalambous;11;Enfield;77542;6088;13515;3961;8138;11446;0;2179;1054;0.022;0.576;0.005;0.083;0.313;0.000;0.000;0.000
Southport;Unknown (Reform gain from LAB);4;Merseyside;73641;9109;10608;5977;11584;5820;0;0;1785;0.184;0.361;0.021;0.402;0.030;0.000;0.000;0.000
Spelthorne;Unknown (Reform gain from CON);12;Surrey;73782;10786;6851;8786;13563;5741;0;0;1733;0.321;0.034;0.110;0.516;0.018;0.000;0.000;0.000
Spen Valley;Unknown (Reform gain from LAB);5;West Yorkshire;72642;7050;10505;3239;11963;5484;0;0;2365;0.115;0.373;0.002;0.465;0.043;0.000;0.000;0.001
St Albans;Daisy Cooper;9;Hertfordshire;72739;8182;5175;20029;8974;8420;0;0;2063;0.023;0.002;0.911;0.039;0.025;0.000;0.000;0.000
St Austell and Newquay;Unknown (Reform gain from LAB);10;Cornwall;76140;7945;8495;6332;16584;5315;0;0;1552;0.074;0.068;0.026;0.825;0.007;0.000;0.000;0.000
St Helens North;David Baines;4;Merseyside;75483;1408;18882;719;18175;2191;0;0;1775;0.001;0.426;0.000;0.547;0.026;0.000;0.000;0.000
St Helens South and Whiston;Unknown (Reform gain from LAB);4;Merseyside;71569;2034;13993;1896;14778;5080;0;0;2948;0.003;0.398;0.001;0.526;0.071;0.000;0.000;0.001
St Ives;Andrew George;10;Cornwall;69980;5866;2166;21113;13627;2688;0;0;1789;0.034;0.000;0.853;0.112;0.000;0.000;0.000;0.000
St Neots and Mid Cambridgeshire;Ian Sollom;9;Cambridgeshire;78115;11446;5032;16718;12151;6705;0;0;2000;0.136;0.003;0.698;0.151;0.012;0.000;0.000;0.000
Stafford;Unknown (Reform gain from LAB);7;Staffordshire;70608;9410;9829;4428;15650;6629;0;0;1557;0.139;0.139;0.002;0.698;0.021;0.000;0.000;0.000
Staffordshire Moorlands;Unknown (Reform gain from CON);7;Staffordshire;69892;12820;5418;2231;20119;2387;0;0;1335;0.142;0.008;0.000;0.850;0.000;0.000;0.000;0.000
Stalybridge and Hyde;Unknown (Reform gain from LAB);4;Eastern Manchester;72265;3134;13313;1242;14053;3731;0;2127;1171;0.017;0.377;0.001;0.553;0.051;0.000;0.000;0.000
Stevenage;Unknown (Reform gain from LAB);9;Hertfordshire;70086;8870;9411;4169;12353;5974;0;0;1934;0.190;0.232;0.008;0.533;0.037;0.000;0.000;0.000
Stockport;Navendu Mishra;4;Eastern Manchester;76625;3931;12086;3576;11048;10886;0;3152;207;0.002;0.436;0.003;0.292;0.266;0.000;0.000;0.000
Stockton North;Unknown (Reform gain from LAB);3;Teesside;70242;3147;13763;1040;15187;2378;0;0;1631;0.032;0.338;0.001;0.613;0.015;0.000;0.000;0.000
Stockton West;Matt Vickers;3;Teesside;71868;15613;9180;3098;13602;3674;0;0;1293;0.549;0.122;0.001;0.324;0.003;0.000;0.000;0.001
Stoke-on-Trent Central;Unknown (Reform gain from LAB);7;Staffordshire;73693;3462;9900;1551;16276;3583;0;0;3948;0.015;0.123;0.000;0.845;0.013;0.000;0.000;0.003
Stoke-on-Trent North;Unknown (Reform gain from LAB);7;Staffordshire;69790;6800;7613;2541;13345;3672;0;0;2793;0.093;0.143;0.002;0.753;0.008;0.000;0.000;0.001
Stoke-on-Trent South;Unknown (Reform gain from LAB);7;Staffordshire;68263;12894;6178;2304;15019;2450;0;0;2362;0.356;0.055;0.001;0.587;0.000;0.000;0.000;0.000
Stone, Great Wyrley and Penkridge;Gavin Williamson;7;Staffordshire;71561;19859;4426;2292;14213;2129;0;0;1924;0.685;0.039;0.001;0.273;0.001;0.000;0.000;0.000
Stourbridge;Unknown (Reform gain from LAB);7;Black Country;68311;10764;7252;2301;12888;3297;0;4037;0;0.313;0.077;0.000;0.605;0.004;0.000;0.000;0.000
Stratford and Bow;Unknown (Green gain from LAB);11;Newham;80560;2779;9529;2377;6392;16314;0;2366;2546;0.001;0.108;0.001;0.013;0.874;0.000;0.000;0.002
Stratford-on-Avon;Manuela Perteghella;7;Warwickshire;75714;14215;3844;15264;14580;3490;0;0;1897;0.295;0.000;0.400;0.303;0.000;0.000;0.000;0.000
Streatham and Croydon North;Unknown (Green gain from LAB);11;Lambeth;82829;4480;12971;3633;7443;14843;0;2244;543;0.004;0.365;0.000;0.035;0.594;0.000;0.000;0.000
Stretford and Urmston;Andrew Western;4;Central Manchester;75153;4873;12861;2467;9845;10116;0;4196;161;0.010;0.571;0.001;0.225;0.191;0.000;0.000;0.000
Stroud;Simon Joseph Opher;10;Gloucestershire;77912;8746;15641;4414;14371;10187;0;0;2358;0.088;0.464;0.008;0.324;0.114;0.000;0.000;0.000
Suffolk Central and North Ipswich;Patrick Spencer;9;Suffolk;73046;17905;3894;2467;17716;4060;0;0;2331;0.348;0.017;0.004;0.616;0.014;0.000;0.000;0.000
Suffolk Coastal;Unknown (Reform gain from LAB);9;Suffolk;74522;10124;8223;8264;16031;7513;0;0;1486;0.191;0.052;0.052;0.675;0.029;0.000;0.000;0.000
Suffolk South;Unknown (Reform gain from CON);9;Suffolk;73385;17420;4920;3382;18588;3767;0;0;1923;0.345;0.020;0.008;0.622;0.004;0.000;0.000;0.000
Suffolk West;Unknown (Reform gain from CON);9;Suffolk;77149;18349;3803;2082;18765;2423;0;0;2140;0.404;0.007;0.000;0.588;0.000;0.000;0.000;0.000
Sunderland Central;Unknown (Reform gain from LAB);3;Newcastle area;76145;2700;15469;1811;16359;3235;0;0;2107;0.014;0.357;0.002;0.593;0.033;0.000;0.000;0.000
Surrey East;Claire Coutinho;12;Surrey;73307;19522;3227;3730;18032;2588;0;0;1716;0.414;0.004;0.027;0.552;0.001;0.000;0.000;0.000
Surrey Heath;Unknown (CON gain from LIB);12;Surrey;71934;14654;3254;14002;11677;3417;0;0;1857;0.430;0.000;0.404;0.165;0.000;0.000;0.000;0.000
Sussex Mid;Alison Bennett;12;West Sussex;75969;11181;6154;17828;11280;6489;0;0;1525;0.106;0.006;0.776;0.102;0.009;0.000;0.000;0.000
Sussex Weald;Nus Ghani;12;East Sussex;72897;20276;3135;3685;17882;2982;0;0;2530;0.504;0.006;0.027;0.459;0.003;0.000;0.000;0.000
Sutton and Cheam;Luke Taylor;11;Sutton;72302;10516;5727;14816;9018;5814;0;0;1384;0.163;0.019;0.716;0.079;0.023;0.000;0.000;0.000
Sutton Coldfield;Andrew Mitchell;7;Birmingham;74080;16817;7627;3271;13301;3376;0;3719;0;0.595;0.077;0.002;0.323;0.002;0.000;0.000;0.000
Swindon North;Unknown (Reform gain from LAB);10;Wiltshire;73238;10484;9441;2835;14541;4490;0;0;1923;0.268;0.125;0.000;0.601;0.005;0.000;0.000;0.000
Swindon South;Unknown (Reform gain from LAB);10;Wiltshire;72596;8441;10922;3877;12307;6678;0;0;1490;0.133;0.368;0.005;0.447;0.046;0.000;0.000;0.000
Tamworth;Unknown (Reform gain from LAB);7;Staffordshire;75059;14197;5907;1949;18769;2567;0;1441;1236;0.246;0.015;0.000;0.739;0.000;0.000;0.000;0.000
Tatton;Esther McVey;4;Cheshire;75978;14221;11070;5939;12764;4959;0;0;1022;0.556;0.166;0.006;0.267;0.004;0.000;0.000;0.000
Taunton and Wellington;Gideon Amos;10;Somerset;78116;10146;4017;17666;12584;4633;0;0;2174;0.069;0.001;0.779;0.147;0.002;0.000;0.000;0.000
Telford;Unknown (Reform gain from LAB);7;Shropshire;73808;5928;10440;2527;16455;4277;0;0;1948;0.045;0.189;0.001;0.756;0.008;0.000;0.000;0.000
Tewkesbury;Cameron Thomas;10;Gloucestershire;73458;10687;3602;16810;12730;5579;0;0;1431;0.091;0.001;0.711;0.194;0.002;0.000;0.000;0.000
Thanet East;Unknown (Reform gain from LAB);12;Kent;74940;7541;9241;3132;14619;6642;0;0;2883;0.094;0.171;0.005;0.689;0.040;0.000;0.000;0.000
Thirsk and Malton;Kevin Hollinrake;5;North Yorkshire;78484;19900;4106;2812;18269;2438;0;0;1388;0.491;0.011;0.002;0.494;0.001;0.000;0.000;0.000
