Name;MP;Area;County;Electorate;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH;CON chance;LAB chance;LIB chance;Reform chance;Green chance;NAT chance;MIN chance;OTH chance
Doncaster East and the Isle of Axholme;Unknown (Reform gain from LAB);5;Doncaster and Rotherham;70154;12006;10477;1863;14749;2499;0;3421;0;0.311;0.149;0;0.539;0;0;0;0
Doncaster North;Ed Miliband;5;Surrey East;69759;5153;14240;1307;12452;1929;0;2453;0;0.114;0.54;0.001;0.342;0.003;0;0;0
Dorking and Horley;Chris Coghlan;12;Dorset;71850;15065;3941;19411;9517;2934;0;2519;0;0.218;0.001;0.702;0.077;0.001;0;0;0
Dorset Mid and North Poole;Vikki Slade;10;Dorset;75294;20447;1045;23358;5646;1025;0;2346;0;0.365;0.001;0.59;0.043;0;0;0;0
Dorset North;Simon Hoare;10;Dorset;72690;16624;5081;11935;14135;3286;0;2434;0;0.609;0.001;0.147;0.242;0;0;0;0
Dorset South;Unknown (Reform gain from LAB);10;Dorset;75924;11536;10214;7500;16239;3150;0;3121;0;0.249;0.117;0.026;0.606;0;0;0;0
Dorset West;Edward Morello;10;Kent East;75998;20011;996;26924;5235;1037;0;1889;0;0.21;0;0.773;0.017;0;0;0;0
Dover and Deal;Unknown (Reform gain from LAB);12;Worcestershire;76406;4615;18525;1576;21394;1782;0;3883;0;0.047;0.349;0.003;0.6;0;0;0;0
Droitwich and Evesham;Nigel Huddleston;7;Black Country;76624;24059;4802;2529;17161;2829;0;2775;0;0.729;0.02;0;0.248;0.002;0;0;0
Dudley;Unknown (Reform gain from LAB);7;Lambeth and Wandsworth;70151;7977;7744;2311;13184;3385;0;4037;0;0.154;0.117;0;0.728;0;0;0;0
Dulwich and West Norwood;Helen Hayes;11;Croydon;74265;3760;18732;3459;4167;16365;0;2033;0;0;0.641;0;0;0.358;0;0;0
Dunstable and Leighton Buzzard;Unknown (Reform gain from LAB);9;Bedfordshire;76742;12901;10338;5504;15654;3478;0;3982;0;0.363;0.112;0.004;0.519;0;0;0;0
Durham North;Unknown (Reform gain from LAB);3;County Durham;73235;2720;18831;816;19210;1186;0;3293;0;0.021;0.456;0;0.521;0.001;0;0;0
Durham, City of;Mary Foy;3;County Durham;70582;2508;21649;1046;16920;1417;0;3067;0;0.014;0.722;0.001;0.26;0.002;0;0;0
Ealing Central and Acton;Rupa Huq;11;West London;78436;7543;16299;5357;7286;11739;0;2582;0;0.043;0.681;0.008;0.034;0.232;0;0;0
Ealing North;James Murray;11;Southall;74820;5733;14718;2531;7244;10578;0;3371;0;0.02;0.682;0.001;0.057;0.24;0;0;0
Ealing Southall;Deirdre Costigan;11;Southall;78669;5482;16901;2521;6088;12372;0;3037;0;0.018;0.648;0.002;0.022;0.309;0;0;0
