Name;MP;Area;County;Electorate;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH;CON chance;LAB chance;LIB chance;UKIP chance;Green chance;NAT chance;MIN chance;OTH chance
Blaydon;Liz Twist;3;Newcastle area;67853;5641;21699;2251;7743;2463;0;0;603;0.003;0.989;0.000;0.008;0.000;0.000;0.000;0.000
Blyth Valley;Unknown (LAB gain from CON);3;Northumberland;64429;6545;18704;1549;6066;1996;0;0;474;0.008;0.987;0.000;0.004;0.000;0.000;0.000;0.000
Bognor Regis and Littlehampton;Nick Gibb;12;West Sussex;77446;15899;14602;4717;7657;2786;0;0;590;0.542;0.435;0.005;0.017;0.000;0.000;0.000;0.000
Bolsover;Unknown (LAB gain from CON);8;Derbyshire;74292;7640;19986;1311;7262;2066;0;0;506;0.014;0.974;0.000;0.011;0.000;0.000;0.000;0.000
Bolton North East;Unknown (LAB gain from CON);4;Western Manchester;67564;7464;18396;955;4980;1536;0;0;452;0.016;0.981;0.000;0.002;0.000;0.000;0.000;0.000
Bolton South East;Yasmin Qureshi;4;Western Manchester;69163;3822;18402;670;4687;1365;0;0;532;0.000;0.998;0.000;0.001;0.000;0.000;0.000;0.000
Bolton West;Unknown (LAB gain from CON);4;Western Manchester;73191;9897;20576;1826;7269;2274;0;0;743;0.048;0.943;0.000;0.009;0.000;0.000;0.000;0.000
Bootle;Peter Dowd;4;Merseyside;74832;1813;35393;989;4802;2340;0;0;458;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000
Boston and Skegness;Matt Warman;8;Lincolnshire;69381;11177;10661;1498;8009;1478;0;0;1007;0.477;0.418;0.000;0.104;0.000;0.000;0.000;0.000
Bosworth;Luke Evans;8;Leicestershire;81542;15460;14893;7408;8919;2814;0;0;493;0.487;0.454;0.012;0.047;0.000;0.000;0.000;0.000
Bournemouth East;Unknown (LAB gain from CON);10;Dorset;74125;10746;17227;3646;6756;3674;0;0;644;0.145;0.833;0.004;0.016;0.002;0.000;0.000;0.000
