Name;MP;Area;County;Electorate;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH;CON chance;LAB chance;LIB chance;UKIP chance;Green chance;NAT chance;MIN chance;OTH chance
Maidenhead;Joshua Peter Reynolds;12;Berkshire;75687;15281;5160;17924;7344;3126;0;0;996;0.342;0.002;0.639;0.015;0.001;0.000;0.000;0.000
Maidstone and Malling;Unknown (Reform gain from CON);12;Kent;76449;11307;8119;6812;14870;4630;0;0;522;0.238;0.055;0.033;0.669;0.004;0.000;0.000;0.000
Makerfield;Unknown (Reform gain from LAB);4;Western Manchester;76845;3591;11378;3659;19572;2179;0;0;496;0.000;0.085;0.001;0.913;0.000;0.000;0.000;0.000
Maldon;Unknown (Reform gain from CON);9;Essex;78281;14136;6434;6857;19235;2907;0;0;393;0.234;0.009;0.004;0.752;0.000;0.000;0.000;0.000
Manchester Central;Unknown (Reform gain from LAB);4;Central Manchester;85049;2013;11163;4786;11881;7586;0;1748;315;0.002;0.404;0.009;0.511;0.073;0.000;0.000;0.000
Manchester Rusholme;Afzal Khan;4;Central Manchester;72604;1291;8082;2567;5951;7661;0;2931;220;0.001;0.462;0.009;0.191;0.336;0.000;0.000;0.000
Manchester Withington;Jeff Smith;4;Central Manchester;70549;2060;15036;7108;6109;9053;0;1743;81;0.000;0.825;0.041;0.038;0.096;0.000;0.000;0.000
Mansfield;Unknown (Reform gain from LAB);8;Nottinghamshire;73817;7817;8610;3227;17982;2478;0;0;832;0.031;0.053;0.001;0.915;0.000;0.000;0.000;0.000
Melksham and Devizes;Brian Mathew;10;Wiltshire;71999;13759;3814;15683;13390;3074;0;0;416;0.278;0.000;0.463;0.259;0.000;0.000;0.000;0.000
Melton and Syston;Unknown (Reform gain from CON);8;Leicestershire;74316;11915;7356;4810;16673;3769;0;0;858;0.225;0.027;0.006;0.741;0.000;0.000;0.000;0.000
Meriden and Solihull East;Unknown (Reform gain from CON);7;Coventry and Solihull;73659;12213;7359;5335;15370;3587;0;0;375;0.278;0.034;0.007;0.680;0.001;0.000;0.000;0.000
Middlesbrough and Thornaby East;Unknown (Reform gain from LAB);3;Teesside;75123;3991;8641;2492;14974;2468;0;1990;206;0.005;0.100;0.000;0.894;0.000;0.000;0.000;0.000
Middlesbrough South and East Cleveland;Unknown (CON gain from LAB);3;Teesside;70328;11092;9529;3988;9687;2626;0;0;1119;0.469;0.259;0.005;0.266;0.000;0.000;0.000;0.000
Milton Keynes Central;Emily Darlington;12;Buckinghamshire;81078;8247;13501;6550;12831;4593;0;0;330;0.070;0.501;0.027;0.397;0.005;0.000;0.000;0.000
Milton Keynes North;Chris Curtis;12;Buckinghamshire;70709;8874;13335;5062;12792;4163;0;0;239;0.099;0.475;0.008;0.415;0.002;0.000;0.000;0.000
Mitcham and Morden;Siobhain McDonagh;11;Merton;77272;3958;15315;6045;11154;6047;0;1105;200;0.006;0.733;0.014;0.229;0.016;0.000;0.000;0.000
Morecambe and Lunesdale;Unknown (Reform gain from LAB);4;Lancashire;76424;10364;12271;6489;14414;3298;0;0;410;0.135;0.325;0.014;0.524;0.001;0.000;0.000;0.000
New Forest East;Unknown (Reform gain from CON);12;Hampshire;70618;12615;5895;7666;14908;3403;0;0;758;0.341;0.014;0.048;0.596;0.000;0.000;0.000;0.000
New Forest West;Unknown (Reform gain from CON);12;Hampshire;68644;12170;7382;8499;14227;3222;0;0;597;0.306;0.047;0.074;0.573;0.000;0.000;0.000;0.000
