Name;MP;Area;County;Electorate;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH
Bournemouth West;Conor Burns;10;Bournemouth;73342;24304;14297;4899;0;2065;0;0;25
Bracknell;James Sunderland;12;Berkshire;69872;27973;11806;6156;0;1802;0;0;516
Bradford East;Imran Hussain;5;Bradford;71646;9493;27147;3287;2667;648;0;0;0
Bradford South;Judith Cummins;5;Bradford;70607;16234;19067;1535;2852;995;0;0;0
Bradford West;Naz Shah;5;Bradford;70695;6717;33736;1349;1556;813;0;0;90
Braintree;James Cleverly;9;Essex North;76023;34287;9532;5235;0;297;0;0;2037
Brent East;Dawn Butler;11;Brent Harrow Barnet;74720;11140;27367;4702;218;1245;0;0;72
Brent West;Barry Gardiner;11;Brent Harrow Barnet;79036;16315;26286;4014;682;923;0;0;185
Brentford and Isleworth;Ruth Cadbury;11;South West London;75746;15482;25999;7599;1043;1379;0;0;0
Brentwood and Ongar;Alex Burghart;9;Essex South West;75078;36206;7234;7181;0;1678;0;0;531
Bridgwater;Ian Liddell-Grainger;10;Somerset West and Barnstaple;71290;28752;9906;9174;0;915;0;0;487
Bridlington and the Wolds;Greg Knight;5;East Yorkshire;72681;30726;10353;3501;0;1367;0;0;1613
Brigg and Immingham;Martin Vickers;5;Lincolnshire North;71838;32226;8661;2229;261;1404;0;0;5
Brighton Kemptown and Peacehaven;Lloyd Russell-Moyle;12;South Coast;70996;17055;25268;2962;1337;2743;0;0;19
Brighton Pavilion;Caroline Lucas;12;South Coast;77893;10095;12975;0;760;32644;0;0;671
Bristol Central;Thangam Debbonaire;10;Avon North;69801;7507;31407;0;606;13597;0;0;0
Bristol East;Kerry McCarthy;10;Avon South;75476;13827;30528;3267;1391;4912;0;0;0
Bristol North East;Unknown (new seat);10;Avon North;69495;18188;26083;2980;830;1436;0;0;154
Bristol North West;Darren Jones;10;Avon North;76243;20721;26993;4600;101;3704;0;0;0
Bristol South;Karin Smyth;10;Avon South;74269;15937;24966;3359;2149;2344;0;0;0
Broadland and Fakenham;Jerome Mayhew;9;Norfolk North;72907;31610;11350;8509;0;1351;0;0;338
Bromley and Biggin Hill;Bob Neill;11;Bexley and Bromley;70212;27453;12091;7849;0;1967;0;0;167
Bromsgrove;Sajid Javid;7;Worcestershire;75078;34408;11302;6780;0;1782;0;0;0
Broxbourne;Charles Walker;9;Hertfordshire East;75559;31469;11443;4472;0;1379;0;0;117
Broxtowe;Darren Henry;8;Nottinghamshire South;71567;24273;20350;331;299;1606;0;5055;748
Buckingham and Bletchley;Unknown (new seat);12;Buckinghamshire North;73799;27679;14434;8525;500;554;0;0;588
Buckinghamshire Mid;Greg Smith;12;Buckinghamshire South;72601;33575;7364;10457;527;1292;0;0;444
Burnley;Antony Higginbotham;4;Lancashire East;74722;18769;18170;3622;3363;818;0;0;1311
Burton and Uttoxeter;Kate Griffiths;7;Staffordshire South;75038;29558;15065;2682;0;1434;0;0;0
Bury North;James Daly;4;Manchester North East;77499;24637;23822;1720;1404;893;0;0;183
Bury South;Christian Wakeford;4;Manchester North East;75131;21381;20998;2515;1712;822;0;0;1589
Bury St Edmunds and Stowmarket;Jo Churchill;9;Suffolk West and Ipswich;76811;32828;10779;452;0;7187;0;0;1425
Calder Valley;Craig Whittaker;5;Huddersfield and Halifax;76434;28789;23418;2834;0;0;0;0;674
Camborne and Redruth;George Eustice;10;Cornwall;73101;27482;18890;4341;0;1493;0;0;659
Cambridge;Daniel Zeichner;9;Cambridgeshire South;73882;7529;23599;15269;954;2044;0;0;259
Cambridgeshire North East;Steve Barclay;9;Cambridgeshire North;70565;32896;7239;3032;0;1485;0;0;0
Cambridgeshire North West;Shailesh Vara;9;Cambridgeshire North;72889;30003;11727;5246;30;2529;0;0;5
Cambridgeshire South;Anthony Browne;9;Cambridgeshire South;75311;25057;8383;23009;87;120;0;0;139
Cannock Chase;Amanda Milling;7;Staffordshire South;74815;31637;11758;0;0;2918;0;0;0
Canterbury;Rosie Duffield;12;Kent East;75633;25366;27537;3336;0;0;0;0;448
Carlisle;John Stevenson;4;Cumbria;76811;29200;17176;3105;0;778;0;0;1205
Carshalton and Wallington;Elliot Colburn;11;Wimbledon and Sutton;73133;20896;6098;20229;1044;760;0;0;201
Castle Point;Rebecca Harris;9;Essex South East;71217;34560;7635;3033;0;0;0;27;0
Chatham and Aylesford;Tracey Crouch;12;Medway and Maidstone;74212;29275;11340;3128;0;1132;0;0;301
Cheadle;Mary Robinson;4;Manchester East;74578;25693;6852;23358;0;0;0;0;0
Chelmsford;Vicky Ford;9;Essex South East;76077;29852;9870;13832;0;0;0;0;500
Chelsea and Fulham;Greg Hands;11;West London;78943;25006;15949;13030;194;348;0;0;493
Cheltenham;Alex Chalk;10;Gloucestershire;76294;27078;2680;25688;0;0;0;0;429
Chesham and Amersham;Cheryl Gillan;12;Buckinghamshire South;73642;31505;7818;12460;0;2803;0;1121;185
Cheshire Mid;Unknown (new seat);4;Cheshire;69411;23253;19695;5103;488;928;0;0;262
Chester North and Neston;Chris Matheson;4;Wirral and Chester North;73078;19594;26163;3320;1585;1347;0;0;0
Chester South and Eddisbury;Edward Timpson;4;Cheshire;71875;30390;11774;7340;432;1206;0;0;283
Chesterfield;Toby Perkins;8;Derbyshire North;71033;16722;18172;3985;4771;1149;0;0;389
Chichester;Gillian Keegan;12;Sussex West;76286;31130;8851;11154;0;2410;0;0;453
Chingford and Woodford Green;Iain Duncan Smith;11;Lea Valley;75340;26348;25162;3144;190;241;0;0;64
Chippenham;Michelle Donelan;10;Swindon and Chippenham;71341;28902;6505;16584;0;992;0;0;0
Chipping Barnet;Theresa Villiers;11;Brent Harrow Barnet;77717;26808;21795;5540;0;1228;0;0;57
Chorley;Lindsay Hoyle;4;Lancashire South;74743;0;25640;0;0;3455;0;9025;0
Christchurch;Christopher Chope;10;Bournemouth;71673;34082;6587;9219;0;2178;0;0;0
Cities of London and Westminster;Nickie Aiken;11;Central London;74448;20465;14155;13887;78;912;0;0;241
Clacton;Giles Watling;9;Essex North;76574;34121;7407;2953;0;1347;0;0;1633
