Country;Constituency;Area;Area;County;Electorate;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH
Wales;Cardiff South and Penarth;Wales;Wales;South Glamorgan;72269;1600;5500;600;800;800;600;0;0
Wales;Cardiff West;Wales;Wales;South Glamorgan;73947;1700;5200;400;1000;700;700;0;100
England;Carlisle;North West;North West;Cumbria;75868;2900;4900;400;1300;300;0;0;100
England;Carshalton and Wallington;London;London;Sutton;72755;2500;2300;3800;900;300;0;0;100
England;Castle Point;Eastern;East of England;Essex;70923;3900;3000;500;2200;300;0;0;0
Scotland;Central Ayrshire;Scotland;Scotland;Ayrshire and Lanark;69779;1900;3500;400;500;200;3200;0;100
England;Central Devon;South West;South West;Devon;73491;3100;3800;1200;1100;700;0;0;000
England;Central Suffolk and North Ipswich;Eastern;East of England;Essex;71020;3200;3700;800;1400;700;0;0;000
Wales;Ceredigion Preseli;Wales;Wales;Dyfed;74063;1400;2200;1000;1000;400;3900;0;100
England;Chatham and Aylesford;South East;South East;Kent;74840;3800;3800;500;1400;400;0;0;000
England;Cheadle;North West;North West;Eastern Manchester;73775;2700;2000;4000;900;200;0;0;100
England;Chelmsford;Eastern;East of England;Essex;76454;3100;2700;2900;900;300;0;0;100
England;Chelsea and Fulham;London;London;Hammersmith and Fulham;76481;2600;4300;1300;1000;600;0;0;200
England;Cheltenham;South West;South West;Gloucestershire;75292;2600;1100;6000;0;200;0;0;000
England;Chesham and Amersham;South East;South East;Buckinghamshire;74155;3500;1800;3300;700;500;0;0;100
England;Chester North and Neston;North West;North West;Cheshire;72327;1900;6100;400;1000;500;0;0;0
England;Chester South and Eddisbury;North West;North West;Cheshire;71975;3500;3400;1300;1100;400;0;0;000
England;Chesterfield;East Midlands;East Midlands;Derbyshire;70722;2200;5200;500;1300;800;0;0;100
England;Chichester;South East;South East;West Sussex;76785;2800;1700;3600;1200;400;0;0;000
England;Chingford and Woodford Green;London;London;Waltham Forest;75677;3600;3900;200;900;500;0;0;600
England;Chippenham;South West;South West;Wiltshire;71648;3200;2200;2800;1300;300;0;0;000
England;Chipping Barnet;London;London;Barnet;76187;2800;5200;500;800;400;0;0;200
England;Chorley;North West;North West;Lancashire;74568;0;0;0;0;0;0;0;10000
England;Christchurch;South West;South West;Dorset;71598;3900;2700;1200;1600;500;0;0;000
England;Cities of London and Westminster;London;London;City of Westminster;73140;2500;3900;1800;600;900;0;0;200
England;City of Durham;North East;North East;Durham;72878;1500;5300;800;1600;600;0;0;100
England;Clacton;Eastern;East of England;Essex;75959;1600;2400;200;5200;300;0;0;100
England;Clapham and Brixton Hill;London;London;Lambeth;75460;1000;6500;700;500;1000;0;0;200
Wales;Clwyd East;Wales;Wales;Clwyd;76395;3000;4100;100;1000;300;1200;0;100
Wales;Clwyd North;Wales;Wales;Clwyd;76150;2600;5000;200;1000;300;800;0;0
Scotland;Coatbridge and Bellshill;Scotland;Scotland;Glasgow area;72507;500;5400;100;300;300;3200;0;100
England;Colchester;Eastern;East of England;Essex;76843;2700;3800;1000;1300;1000;0;0;100
England;Colne Valley;Yorkshire and The Humber;Yorkshire and The Humber;West Yorkshire;71518;2900;4900;500;1100;400;0;0;000
England;Congleton;North West;North West;Cheshire;69836;3500;4000;700;1300;400;0;0;000
England;Corby and East Northamptonshire;East Midlands;East Midlands;Northamptonshire;76748;2700;5100;200;1500;300;0;0;000
England;Coventry East;West Midlands;West Midlands;Coventry and Solihull;73389;2000;5500;500;1200;500;0;0;200
England;Coventry North West;West Midlands;West Midlands;Coventry and Solihull;73431;2400;4600;800;1400;600;0;0;100
England;Coventry South;West Midlands;West Midlands;Coventry and Solihull;70998;2400;5000;400;1100;800;0;0;200
Scotland;Cowdenbeath and Kirkcaldy;Scotland;Scotland;Fife;70329;900;4100;200;500;900;2800;0;300
England;Cramlington and Killingworth;North East;North East;Newcastle area;73295;1900;5200;300;2000;500;0;0;000
England;Crawley;South East;South East;West Sussex;74446;2700;4300;600;1800;500;0;0;100
England;Crewe and Nantwich;North West;North West;Cheshire;76236;2300;5100;300;1700;400;0;0;000
England;Croydon East;London;London;Croydon;75436;2400;5500;500;900;600;0;0;0
England;Croydon South;London;London;Croydon;71541;3500;4000;600;1100;500;0;0;100
England;Croydon West;London;London;Croydon;70812;1200;6600;400;600;900;0;0;300
Scotland;Cumbernauld and Kirkintilloch;Scotland;Scotland;Glasgow area;70579;800;4400;200;400;300;3800;0;0
England;Dagenham and Rainham;London;London;Barking and Dagenham;73627;2500;4900;300;1500;500;0;0;200
England;Darlington;North East;North East;Durham;70446;2700;5300;300;1200;400;0;0;0
England;Dartford;South East;South East;Kent;72048;3200;4500;500;1300;400;0;0;0
England;Daventry;East Midlands;East Midlands;Northamptonshire;76539;3500;2700;1400;1700;600;0;0;0
England;Derby North;East Midlands;East Midlands;Derbyshire;71876;2700;5000;300;1100;700;0;0;0
England;Derby South;East Midlands;East Midlands;Derbyshire;72067;1900;5200;400;1700;600;0;0;200
England;Derbyshire Dales;East Midlands;East Midlands;Derbyshire;71435;3300;3800;800;1400;500;0;0;000
England;Dewsbury and Batley;Yorkshire and The Humber;Yorkshire and The Humber;West Yorkshire;70226;1800;5500;300;900;1100;0;0;200
England;Didcot and Wantage;South East;South East;Oxfordshire;74456;2900;2900;2700;1000;400;0;0;000
England;Doncaster Central;Yorkshire and The Humber;Yorkshire and The Humber;South Yorkshire;75007;2100;4900;500;1700;600;0;0;100
England;Doncaster East and the Isle of Axholme;Yorkshire and The Humber;Yorkshire and The Humber;South Yorkshire;70113;2700;3300;500;2800;500;0;0;000
England;Doncaster North;Yorkshire and The Humber;Yorkshire and The Humber;South Yorkshire;71739;2500;6200;600;0;400;0;0;100
England;Dorking and Horley;South East;South East;Surrey;70317;2900;1700;4100;800;400;0;0;0
England;Dover and Deal;South East;South East;Kent;75855;2700;4600;500;1600;400;0;0;000
England;Droitwich and Evesham;West Midlands;West Midlands;Hereford and Worcestershire;74345;3500;2800;1300;1900;400;0;0;000
England;Dudley;West Midlands;West Midlands;Black Country;71083;3200;4800;200;1400;300;0;0;100
England;Dulwich and West Norwood;London;London;Lambeth;74314;700;6300;400;500;1800;0;0;200
Scotland;Dumfries and Galloway;Scotland;Scotland;Dumfries and Galloway;76863;2700;2400;600;500;400;3200;0;100
Scotland;Dumfriesshire, Clydesdale and Tweeddale;Scotland;Scotland;Dumfries and Galloway;70738;3200;2000;900;300;300;3100;0;100
