Seat Name;County;Electorate;Area;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH;Winner
High Peak;Derbyshire North;74387;8;2027;2485;773;2510;1820;0;0;385;Reform
Hinckley and Bosworth;Leicestershire West;76431;8;2802;1053;1858;2865;939;0;0;482;Reform
Hitchin;Hertfordshire East;75138;9;2182;2261;1280;2113;1662;0;0;502;LAB
Holborn and St Pancras;Central London;71356;11;729;2617;490;1239;3357;0;1381;188;Green
Honiton and Sidmouth;Devon Central and East;74727;10;2680;592;2687;2671;707;0;0;662;LIB
Hornchurch and Upminster;Dagenham and Redbridge;75504;11;2716;1173;529;4125;852;0;0;606;Reform
Hornsey and Friern Barnet;Enfield and Haringey;69886;11;772;3389;963;1033;3294;0;444;105;LAB
Horsham;Sussex West;79148;12;3159;752;2530;1963;961;0;0;635;CON
Houghton and Sunderland South;Tyne and Wear South;78875;3;1140;2437;598;3580;1401;0;0;844;Reform
Hove and Portslade;South Coast;73884;12;1016;2855;606;1751;2803;0;0;969;LAB
Huddersfield;Huddersfield and Halifax;76936;5;1214;2002;531;2146;3425;0;0;682;Green
Hull East;East Yorkshire;70647;5;992;1849;759;3802;1732;0;0;867;Reform
Hull North and Cottingham;East Yorkshire;75279;5;1178;2301;740;2797;2106;0;0;876;Reform
Hull West and Haltemprice;East Yorkshire;73253;5;1517;2262;732;3024;1668;0;0;796;Reform
Huntingdon;Cambridgeshire North;79074;9;2730;1632;1047;2815;1122;0;0;655;Reform
Hyndburn;Lancashire East;76575;4;1919;1691;655;3062;2110;0;0;563;Reform
Ilford North;Dagenham and Redbridge;77835;11;1950;1914;494;1226;1975;0;2442;0;MIN
Ilford South;Dagenham and Redbridge;80792;11;1341;2084;420;1232;2697;0;0;2226;Green
Ipswich;Suffolk West and Ipswich;76317;9;1877;1956;786;2915;1869;0;0;597;Reform
Isle of Wight East;Isle of Wight and the New Forest;55853;12;2447;1050;844;3408;1427;0;0;823;Reform
Isle of Wight West;Isle of Wight and the New Forest;55407;12;1963;1779;1124;3143;1453;0;0;537;Reform
Islington North;Central London;72582;11;501;2106;373;1017;3183;0;0;2819;Green
Islington South and Finsbury;Central London;74121;11;778;2837;664;1403;3595;0;0;723;Green
Jarrow and Gateshead East;Tyne and Wear South;70179;3;891;2596;566;3541;1594;0;0;813;Reform
Keighley and Ilkley;Bradford;74684;5;2501;2058;526;2712;1571;0;0;632;Reform
Kenilworth and Southam;Warwickshire;75472;7;2750;1377;1697;2428;1145;0;0;604;CON
Kensington and Bayswater;West London;77304;11;2746;2279;700;1471;1889;0;641;274;CON
Kettering;Northamptonshire;79379;8;1698;1842;701;2777;2475;0;0;508;Reform
Kingston and Surbiton;South West London;77461;11;1594;1007;3315;1385;1864;0;183;652;LIB
Kingswinford and South Staffordshire;Staffordshire South;71662;7;2918;1381;745;3310;767;0;0;879;Reform
Knowsley;Merseyside East and Warrington;72086;4;585;3173;451;2879;2217;0;448;247;LAB
Lancashire West;Lancashire South;74113;4;1644;2791;678;2551;1756;0;0;579;LAB
Lancaster and Wyre;Lancashire West;75015;4;1508;2318;569;2146;2817;0;0;642;Green
Leeds Central and Headingley;Leeds;70555;5;609;2373;516;1333;4600;0;369;199;Green
Leeds East;Leeds;75658;5;1258;2388;456;2900;2147;0;0;851;Reform
Leeds North East;Leeds;70178;5;1301;3150;572;1249;2883;0;541;303;LAB
Leeds North West;Leeds;71592;5;1845;2964;1114;1621;1868;0;0;588;LAB
Leeds South;Leeds;76501;5;1014;2479;449;1880;3247;0;208;722;Green
Leeds South West and Morley;Leeds;71853;5;1771;2285;647;2887;1782;0;0;628;Reform
Leeds West and Pudsey;Leeds;70069;5;1285;2651;548;2340;2321;0;485;370;LAB
Leicester East;Leicestershire East and Rutland;76815;8;3000;1445;960;942;1779;0;942;932;CON
Leicester South;Leicestershire East and Rutland;70613;8;917;1952;399;1086;3551;0;0;2094;Green
Leicester West;Leicestershire East and Rutland;74103;8;1629;2345;664;1977;2613;0;0;772;Green
Leicestershire Mid;Leicestershire West;76861;8;2815;1847;749;2752;1309;0;0;528;CON
Leicestershire North West;Leicestershire West;77752;8;2672;1881;494;3057;1187;0;0;708;Reform
Leicestershire South;Leicestershire West;77612;8;2784;1498;1320;2804;1073;0;0;522;Reform
Leigh and Atherton;Manchester North West;80249;4;1213;2384;459;3758;1409;0;0;777;Reform
Lewes;Sussex East;76164;12;1659;660;3673;2232;1310;0;0;466;LIB
Lewisham East;South East London;73377;11;999;3054;496;1801;2909;0;397;344;LAB
Lewisham North;South East London;74203;11;653;3009;507;1111;4140;0;257;322;Green
Lewisham West and East Dulwich;South East London;70099;11;744;3332;575;1170;3626;0;324;230;Green
Leyton and Wanstead;Lea Valley;73365;11;1006;2619;553;1340;3189;0;349;945;Green
Lichfield;Staffordshire South;75887;7;2772;1800;747;3028;860;0;0;794;Reform
Lincoln;Lincolnshire North;72755;8;1813;2372;727;2344;1969;0;343;431;LAB
Liverpool Garston;Merseyside East and Warrington;69326;4;883;3095;813;2027;2253;0;0;929;LAB
Liverpool Riverside;Merseyside East and Liverpool;70652;4;513;2886;409;1847;3666;0;0;679;Green
Liverpool Walton;Merseyside East and Liverpool;69411;4;552;3540;405;2742;2097;0;0;665;LAB
Liverpool Wavertree;Merseyside East and Liverpool;70932;4;596;2877;603;1515;3757;0;0;653;Green
Liverpool West Derby;Merseyside East and Liverpool;70544;4;589;3461;443;2551;2135;0;0;820;LAB
Loughborough;Leicestershire West;69143;8;2079;2196;887;2313;2092;0;0;434;Reform
Louth and Horncastle;Lincolnshire South;76880;8;2581;1226;680;4070;795;0;0;648;Reform
Lowestoft;Suffolk East;74332;9;1870;1605;730;3616;1439;0;0;740;Reform
Luton North;Bedfordshire;74325;9;1597;1880;565;1940;1980;0;2038;0;MIN
Luton South and South Bedfordshire;Bedfordshire;77510;9;1532;1693;607;2113;2035;0;0;2020;Reform
Macclesfield;Cheshire;76416;4;2165;2664;954;2151;1638;0;0;428;LAB
Maidenhead;Buckinghamshire South;74220;12;2996;817;2995;1543;1056;0;0;594;CON
Maidstone and Malling;Medway and Maidstone;78095;12;2234;1291;1476;2680;1672;0;0;648;Reform
Makerfield;Lancashire South;76681;4;980;2287;541;4088;1332;0;0;772;Reform
Maldon;Essex South East;78280;9;2839;1017;1101;3708;735;0;0;600;Reform
Manchester Central;Manchester Central and Trafford;85055;4;755;2425;517;1863;3655;0;588;197;Green
Manchester Rusholme;Manchester Central and Trafford;72604;4;553;2376;231;997;5009;0;732;102;Green
Manchester Withington;Manchester Central and Trafford;70548;4;567;3032;773;920;4179;0;487;42;Green
Mansfield;Nottinghamshire North;73784;8;1984;1846;582;3707;1327;0;0;553;Reform
Melksham and Devizes;Wiltshire South;71882;10;2933;726;2574;2231;884;0;0;653;CON
Melton and Syston;Leicestershire East and Rutland;74170;8;2528;1473;711;3327;1339;0;0;621;Reform
Meriden and Solihull East;Coventry and Meriden;73286;7;2719;1493;893;3002;1134;0;0;759;Reform
Middlesbrough and Thornaby East;Teesside;74909;3;1298;2204;444;3204;1842;0;847;162;Reform
Middlesbrough South and East Cleveland;Teesside;70328;3;2762;2039;767;2794;1108;0;0;531;Reform
Milton Keynes Central;Buckinghamshire North;82149;12;2233;1931;1191;2014;2121;0;0;509;CON
Milton Keynes North;Buckinghamshire North;69689;12;2291;2037;1034;2314;1814;0;0;510;Reform
Mitcham and Morden;Wimbledon and Sutton;77273;11;1245;2877;655;1802;2532;0;667;222;LAB
Morecambe and Lunesdale;Lancashire West;76162;4;2067;2021;1311;2729;1492;0;0;379;Reform
New Forest East;Isle of Wight and the New Forest;70618;12;2823;1060;1391;3077;946;0;0;703;Reform
New Forest West;Isle of Wight and the New Forest;68644;12;2624;1361;1525;2892;892;0;0;707;Reform
Newark;Nottinghamshire North;79982;8;2785;1772;831;3051;1048;0;53;460;Reform
