Country;Constituency;Area;County;Electorate;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH
England;Leeds East;Yorkshire and The Humber;West Yorkshire;75330;2280;5280;410;1310;360;0;0;360
England;Leeds North East;Yorkshire and The Humber;West Yorkshire;70976;1080;6190;1130;800;590;0;0;220
England;Leeds North West;Yorkshire and The Humber;West Yorkshire;71607;2410;4790;950;1000;380;0;0;470
England;Leeds South;Yorkshire and The Humber;West Yorkshire;71376;1310;6870;870;0;650;0;0;300
England;Leeds South West and Morley;Yorkshire and The Humber;West Yorkshire;74726;3290;4680;340;1130;370;0;0;190
England;Leeds West and Pudsey;Yorkshire and The Humber;West Yorkshire;70270;2260;5420;480;1040;340;0;0;460
England;Leicester East;East Midlands;Leicestershire;76465;1730;5570;560;1260;520;0;0;360
England;Leicester South;East Midlands;Leicestershire;71007;940;6810;840;700;560;0;0;160
England;Leicester West;East Midlands;Leicestershire;76992;1580;5180;990;1360;620;0;0;270
England;Leigh and Atherton;North West;Western Manchester;76363;2880;5210;400;1220;090;0;0;200
England;Lewes;South East;East Sussex;75091;2920;1130;4490;720;740;0;0;-010
England;Lewisham East;London;Lewisham;71706;890;6500;1070;670;610;0;0;260
England;Lewisham North;London;Lewisham;73504;540;7060;1080;400;790;0;0;130
England;Lewisham West and East Dulwich;London;Lewisham;69904;650;6810;1060;470;850;0;0;160
England;Leyton and Wanstead;London;Waltham Forest;71330;880;6540;1050;640;650;0;0;240
England;Lichfield;West Midlands;Staffordshire;74942;2780;2740;1000;2220;670;0;0;580
England;Lincoln;East Midlands;Lincolnshire;74128;2590;4860;500;1180;340;0;0;540
England;Liverpool Garston;North West;Merseyside;70372;540;7430;1060;460;350;0;0;170
England;Liverpool Riverside;North West;Merseyside;70157;470;8020;730;150;530;0;0;090
England;Liverpool Walton;North West;Merseyside;75926;440;8260;500;350;240;0;0;210
England;Liverpool Wavertree;North West;Merseyside;71076;600;6950;1260;160;850;0;0;180
England;Liverpool West Derby;North West;Merseyside;70730;390;8000;560;330;250;0;0;460
England;Loughborough;East Midlands;Leicestershire;73902;2830;4900;570;1320;380;0;0;0
England;Louth and Horncastle;East Midlands;Lincolnshire;75959;2960;2360;820;2710;470;0;0;690
England;Lowestoft;East of England;Suffolk;73967;3340;3880;440;1690;650;0;0;0
England;Luton North;East of England;Bedfordshire;73266;1540;5830;520;1220;380;0;0;510
England;Luton South and South Bedfordshire;East of England;Bedfordshire;70197;1570;5500;660;1200;450;0;0;630
England;Macclesfield;North West;Cheshire;75881;2310;3800;1020;1700;770;0;0;400
England;Maidenhead;South East;Berkshire;73463;3230;2080;3490;0;670;0;0;540
England;Maidstone and Malling;South East;Kent;73084;2540;2420;1780;2060;700;0;0;510
England;Makerfield;North West;Western Manchester;76517;2150;5200;450;1630;310;0;0;260
England;Maldon;East of England;Essex;76794;3300;2120;1170;2590;820;0;0;0
England;Manchester Central;North West;Central Manchester;75311;1290;6210;1040;620;680;0;0;160
England;Manchester Rusholme;North West;Central Manchester;70692;620;8240;0;220;830;0;0;090
England;Manchester Withington;North West;Central Manchester;71614;720;6590;1730;140;730;0;0;080
England;Mansfield;East Midlands;Nottinghamshire;74680;3770;3800;310;1810;140;0;0;160
England;Melksham and Devizes;South West;Wiltshire;71823;2860;1510;3370;1750;500;0;0;0
England;Melton and Syston;East Midlands;Leicestershire;71615;2740;2960;760;2180;890;0;0;470
England;Meriden and Solihull East;West Midlands;Coventry and Solihull;74211;2810;2810;1340;2130;910;0;0;0
England;Mid Bedfordshire;East of England;Bedfordshire;71748;4060;3630;990;870;560;0;0;-110
England;Mid Buckinghamshire;South East;Buckinghamshire;72240;2470;1990;1730;2660;730;0;0;420
England;Mid Cheshire;North West;Cheshire;69775;2570;4970;560;1160;380;0;0;350
England;Mid Derbyshire;East Midlands;Derbyshire;70085;2620;3320;930;1970;710;0;0;450
England;Mid Dorset and North Poole;South West;Dorset;74305;3370;1350;4030;0;680;0;0;560
England;Mid Leicestershire;East Midlands;Leicestershire;76173;2840;3340;850;2180;780;0;0;0
England;Mid Norfolk;East of England;Norfolk;71060;2810;2940;1000;2550;700;0;0;0
England;Mid Sussex;South East;West Sussex;72255;2450;1870;3150;1480;540;0;0;500
England;Middlesbrough and Thornaby East;North East;Teesside;71742;1370;5780;710;1260;360;0;0;520
England;Middlesbrough South and East Cleveland;North East;Teesside;69967;3080;4950;720;0;660;0;0;600
England;Milton Keynes Central;South East;Buckinghamshire;76708;2590;4600;730;1210;370;0;0;500
England;Milton Keynes North;South East;Buckinghamshire;70620;2850;4810;580;1350;410;0;0;0
England;Mitcham and Morden;London;Merton;76877;1200;6100;1070;880;500;0;0;250
England;Morecambe and Lunesdale;North West;Lancashire;76040;2510;3580;1600;1870;450;0;0;0
England;New Forest East;South East;Hampshire;73823;2790;2130;1380;2270;820;0;0;610
England;New Forest West;South East;Hampshire;71009;2780;1970;1460;2210;1110;0;0;480
England;Newark;East Midlands;Nottinghamshire;76478;2790;3060;930;2080;660;0;0;480
England;Newbury;South East;Berkshire;71631;2600;1080;3640;1530;680;0;0;480
England;Newcastle upon Tyne Central and West;North East;Newcastle area;76460;1170;6160;660;1290;520;0;0;200
England;Newcastle upon Tyne East and Wallsend;North East;Newcastle area;76875;1050;6190;1070;990;520;0;0;180
England;Newcastle upon Tyne North;North East;Newcastle area;76503;1450;4920;1530;1240;600;0;0;250
England;Newcastle-under-Lyme;West Midlands;Staffordshire;70025;3400;4610;400;1330;260;0;0;0
England;Newton Abbot;South West;Devon;72956;2620;1860;2820;1610;520;0;0;570
England;Newton Aycliffe and Spennymoor;North East;Durham;71299;3070;4930;480;1170;260;0;0;080
England;Normanton and Hemsworth;Yorkshire and The Humber;West Yorkshire;75388;2540;5210;350;1660;250;0;0;0
England;North Bedfordshire;East of England;Bedfordshire;76319;2900;2750;1370;2310;670;0;0;0
England;North Cornwall;South West;Cornwall;75034;2750;1260;3380;1690;360;0;0;570
England;North Cotswolds;South West;Gloucestershire;70915;2630;2300;1750;1960;910;0;0;450
England;North Devon;South West;Devon;76455;2620;1180;3350;1700;630;0;0;520
England;North Dorset;South West;Dorset;72109;2980;1470;2560;1940;570;0;0;470
England;North Durham;North East;Durham;73079;2470;5510;440;1050;310;0;0;210
England;North East Cambridgeshire;East of England;Cambridgeshire;70806;3030;2230;660;2870;690;0;0;520
England;North East Derbyshire;East Midlands;Derbyshire;72344;3640;4370;490;1240;260;0;0;0
England;North East Hampshire;South East;Hampshire;73306;2930;1340;2740;1720;560;0;0;710
England;North East Hertfordshire;East of England;Hertfordshire;76849;2610;3100;1560;1950;770;0;0;0
England;North East Somerset and Hanham;South West;Bristol area;73113;3770;3940;1060;760;530;0;0;-060
England;North Herefordshire;West Midlands;Hereford and Worcestershire;70894;2780;1710;650;1260;3000;0;0;600
England;North Norfolk;East of England;Norfolk;70719;2870;1150;3570;1930;480;0;0;0
England;North Northumberland;North East;Northumberland;72541;2530;2980;1600;1790;670;0;0;430
England;North Shropshire;West Midlands;Shropshire;77052;2600;2000;2620;1730;580;0;0;480
England;North Somerset;South West;Bristol area;73963;2350;3050;1600;1770;830;0;0;400
England;North Warwickshire and Bedworth;West Midlands;Warwickshire;70245;3020;3510;500;2300;670;0;0;0
England;North West Cambridgeshire;East of England;Cambridgeshire;73556;2590;2950;1040;2570;840;0;0;0
England;North West Essex;East of England;Essex;76280;2720;2040;1900;2060;820;0;0;460
