Country;Constituency;Area;County;Electorate;CON;LAB;LIB;Green;NAT;MIN;UKIP;OTH
England;North West Hampshire;South East;Hampshire;76004;2700;2400;1700;900;000;000;1900;400
England;North West Leicestershire;East Midlands;Leicestershire;75373;2800;3200;600;900;000;000;2000;500
England;North West Norfolk;East of England;Norfolk;75200;3000;3000;800;900;000;000;2200;000
England;Northampton North;East Midlands;Northamptonshire;75713;2600;4800;600;500;000;000;1200;300
England;Northampton South;East Midlands;Northamptonshire;71512;2500;3700;700;800;000;000;1900;400
England;Norwich North;East of England;Norfolk;71441;2800;4600;400;500;000;000;1200;400
England;Norwich South;East of England;Norfolk;73201;1300;5600;1000;900;000;000;1000;200
England;Nottingham East;East Midlands;Nottinghamshire;75327;1200;6200;1100;1100;000;000;400;100
England;Nottingham North and Kimberley;East Midlands;Nottinghamshire;74515;2400;5700;400;400;000;000;1100;000
England;Nottingham South;East Midlands;Nottinghamshire;76076;1500;5800;800;700;000;000;1100;200
England;Nuneaton;West Midlands;Warwickshire;70335;2600;3700;500;900;000;000;1800;400
England;Old Bexley and Sidcup;London;Bexley;74317;2800;3100;700;800;000;000;2200;500
England;Oldham East and Saddleworth;North West;Eastern Manchester;72997;2300;5000;700;300;000;000;1100;500
England;Oldham West, Chadderton and Royton;North West;Eastern Manchester;74183;1400;5800;600;400;000;000;1400;400
England;Orpington;London;Bromley;71571;2800;2700;1300;800;000;000;2000;400
England;Ossett and Denby Dale;Yorkshire and The Humber;West Yorkshire;71595;3600;4300;300;300;000;000;1100;300
England;Oxford East;South East;Oxfordshire;72731;1300;5800;1600;1300;000;000;000;000
England;Oxford West and Abingdon;South East;Oxfordshire;72004;2000;900;5800;900;000;000;400;000
England;Peckham;London;Southwark;71176;500;7400;1000;700;000;000;400;100
England;Pendle and Clitheroe;North West;Lancashire;76941;3800;4500;400;200;000;000;1000;100
England;Penistone and Stocksbridge;Yorkshire and The Humber;South Yorkshire;71377;3400;4600;500;200;000;000;1300;000
England;Penrith and Solway;North West;Cumbria;76720;2500;3700;700;700;000;000;1800;600
England;Peterborough;East of England;Cambridgeshire;72273;2600;4900;400;400;000;000;1300;400
England;Plymouth Moor View;South West;Devon;73378;3300;4100;400;500;000;000;1700;000
England;Plymouth Sutton and Devonport;South West;Devon;73495;2200;5600;500;400;000;000;1000;300
England;Pontefract, Castleford and Knottingley;Yorkshire and The Humber;West Yorkshire;72751;2800;5100;400;200;000;000;1200;400
England;Poole;South West;Dorset;72162;2600;2700;1300;900;000;000;1900;500
England;Poplar and Limehouse;London;Tower Hamlets;75814;800;6400;1400;500;000;000;600;200
England;Portsmouth North;South East;Hampshire;71844;3500;3800;500;500;000;000;1700;000
England;Portsmouth South;South East;Hampshire;74253;2000;4500;1600;1300;000;000;700;000
England;Preston;North West;Lancashire;72946;1300;6000;800;500;000;000;1100;200
England;Putney;London;Wandsworth;73041;2300;5300;900;400;000;000;800;200
England;Queen's Park and Maida Vale;London;City of Westminster;75256;900;6500;1300;600;000;000;600;200
England;Rawmarsh and Conisbrough;Yorkshire and The Humber;South Yorkshire;70272;2300;4800;400;400;000;000;1600;500
England;Rayleigh and Wickford;East of England;Essex;76422;3300;2400;700;1000;000;000;2600;000
England;Reading Central;South East;Berkshire;71283;2000;4900;900;1700;000;000;500;000
England;Reading West and Mid Berkshire;South East;Berkshire;69999;3200;3300;1700;800;000;000;1000;000
England;Redcar;North East;Teesside;71331;3200;4700;600;300;000;000;1000;300
England;Redditch;West Midlands;Hereford and Worcestershire;69921;2800;3300;600;800;000;000;2100;400
England;Reigate;South East;Surrey;76139;2900;1900;2700;900;000;000;1600;000
England;Ribble Valley;North West;Lancashire;75993;2700;3400;700;700;000;000;1900;600
England;Richmond and Northallerton;Yorkshire and The Humber;North Yorkshire;72744;2900;2400;1100;900;000;000;2000;800
England;Richmond Park;London;Richmond upon Thames;75037;2000;800;5300;500;000;000;1000;300
England;Rochdale;North West;Eastern Manchester;71697;1200;4700;1000;500;000;000;1200;1400
England;Rochester and Strood;South East;Kent;72155;3100;3500;400;400;000;000;1900;700
England;Romford;London;Havering;72730;3400;3500;400;500;000;000;1800;400
England;Romsey and Southampton North;South East;Hampshire;73831;3400;1700;3500;400;000;000;900;100
England;Rossendale and Darwen;North West;Lancashire;74593;2500;4200;600;700;000;000;1700;400
England;Rother Valley;Yorkshire and The Humber;South Yorkshire;70814;3400;4500;300;300;000;000;1500;000
England;Rotherham;Yorkshire and The Humber;South Yorkshire;75345;000;5100;700;600;000;000;2900;600
England;Rugby;West Midlands;Warwickshire;72603;2600;3800;700;800;000;000;1800;400
England;Ruislip, Northwood and Pinner;London;Hillingdon;72168;2600;3300;1400;900;000;000;1800;000
England;Runcorn and Helsby;North West;Cheshire;70950;1700;5400;600;700;000;000;1300;200
England;Runnymede and Weybridge;South East;Surrey;73778;3200;2100;3100;500;000;000;900;300
England;Rushcliffe;East Midlands;Nottinghamshire;76171;2100;4000;1400;600;000;000;1500;500
England;Rutland and Stamford;East Midlands;Leicestershire;70864;2800;2200;1400;800;000;000;2100;700
England;Salford;North West;Central Manchester;72169;1300;5600;1100;1100;000;000;800;000
England;Salisbury;South West;Wiltshire;70242;2500;2500;1800;900;000;000;1800;500
England;Scarborough and Whitby;Yorkshire and The Humber;North Yorkshire;73862;2400;3900;700;600;000;000;1800;700
England;Scunthorpe;Yorkshire and The Humber;Humber area;74278;3700;4600;300;200;000;000;1100;000
England;Sefton Central;North West;Merseyside;74746;1600;5700;800;500;000;000;1200;300
England;Selby;Yorkshire and The Humber;North Yorkshire;74761;2600;4200;600;700;000;000;1800;000
England;Sevenoaks;South East;Kent;73684;2700;2100;1700;800;000;000;2100;600
England;Sheffield Brightside and Hillsborough;Yorkshire and The Humber;South Yorkshire;71154;1300;6700;800;900;000;000;000;400
England;Sheffield Central;Yorkshire and The Humber;South Yorkshire;70453;700;6200;1400;1700;000;000;000;000
England;Sheffield Hallam;Yorkshire and The Humber;South Yorkshire;76637;800;4400;3900;600;000;000;000;200
England;Sheffield Heeley;Yorkshire and The Humber;South Yorkshire;74614;1400;6400;1100;900;000;000;000;200
England;Sheffield South East;Yorkshire and The Humber;South Yorkshire;76223;2100;6400;600;400;000;000;000;500
England;Sherwood Forest;East Midlands;Nottinghamshire;76543;2700;3600;600;800;000;000;1900;500
England;Shipley;Yorkshire and The Humber;West Yorkshire;74095;2700;4700;400;600;000;000;1100;500
England;Shrewsbury;West Midlands;Shropshire;75139;2200;4000;1000;700;000;000;1600;400
