Seat Name;County;Area;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH;Winner
Harpenden and Berkhamsted;Hertfordshire;9;2419;632;4010;1460;1093;000;000;386;LIB
Harrogate and Knaresborough;North Yorkshire;5;2224;771;3586;1777;1251;000;000;391;LIB
Harrow East;Harrow;11;4212;1625;716;1292;1161;000;255;740;CON
Harrow West;Harrow;11;2418;2171;834;1425;2211;000;000;941;CON
Hartlepool;Teesside;3;1704;2326;468;3318;1317;000;178;689;Reform
Harwich and North Essex;Essex;9;2811;1632;743;3046;1049;000;000;719;Reform
Hastings and Rye;East Sussex;12;1551;2115;718;2531;2161;000;534;391;Reform
Havant;Hampshire;12;2327;1437;669;3698;1074;000;796;000;Reform
Hayes and Harlington;Hillingdon;11;1983;2549;547;1680;2124;000;1117;000;LAB
Hazel Grove;Eastern Manchester;4;1753;1581;2653;1975;1496;000;000;542;LIB
Hemel Hempstead;Hertfordshire;9;2139;1796;1393;2467;1626;000;000;578;Reform
Hendon;Barnet;11;2859;1958;698;1968;1693;000;662;162;CON
Henley and Thame;Oxfordshire;12;2752;634;2766;2138;1060;000;000;651;LIB
Hereford and South Herefordshire;Hereford and Worcestershire;7;2640;1438;973;3123;1089;000;000;737;Reform
Herefordshire North;Hereford and Worcestershire;7;2390;593;485;2890;2818;000;000;824;Reform
Herne Bay and Sandwich;Kent;12;2472;1539;751;3568;983;000;000;688;Reform
Hertford and Stortford;Hertfordshire;9;1982;1871;1091;2465;2030;000;000;562;Reform
Hertfordshire North East;Hertfordshire;9;2655;1841;909;2617;1300;000;000;678;CON
Hertfordshire South West;Hertfordshire;9;3110;1185;1694;2087;1126;000;000;799;CON
Hertsmere;Hertfordshire;9;3299;1481;945;2552;1004;000;000;719;CON
Hexham;Northumberland;3;2734;2754;826;1861;1270;000;000;556;LAB
Heywood and Middleton North;Eastern Manchester;4;1361;2209;565;3100;1384;000;000;1381;Reform
High Peak;Derbyshire;8;2027;2485;773;2510;1820;000;000;385;Reform
Hinckley and Bosworth;Leicestershire;8;2802;1053;1858;2865;939;000;000;482;Reform
Hitchin;Hertfordshire;9;2182;2261;1280;2113;1662;000;000;502;LAB
Holborn and St Pancras;Camden;11;729;2617;490;1239;3357;000;1381;188;Green
Honiton and Sidmouth;Devon;10;2680;592;2687;2671;707;000;000;662;LIB
Hornchurch and Upminster;Havering;11;2716;1173;529;4125;852;000;000;606;Reform
Hornsey and Friern Barnet;Haringey;11;772;3389;963;1033;3294;000;444;105;LAB
Horsham;West Sussex;12;3159;752;2530;1963;961;000;000;635;CON
Houghton and Sunderland South;Newcastle area;3;1140;2437;598;3580;1401;000;000;844;Reform
Hove and Portslade;East Sussex;12;1016;2855;606;1751;2803;000;000;969;LAB
Huddersfield;West Yorkshire;5;1214;2002;531;2146;3425;000;000;682;Green
Hull East;Humber area;5;992;1849;759;3802;1732;000;000;867;Reform
Hull North and Cottingham;Humber area;5;1178;2301;740;2797;2106;000;000;876;Reform
Hull West and Haltemprice;Humber area;5;1517;2262;732;3024;1668;000;000;796;Reform
Huntingdon;Cambridgeshire;9;2730;1632;1047;2815;1122;000;000;655;Reform
Hyndburn;Lancashire;4;1919;1691;655;3062;2110;000;000;563;Reform
Ilford North;Redbridge;11;1950;1914;494;1226;1975;000;2442;000;MIN
Ilford South;Redbridge;11;1341;2084;420;1232;2697;000;000;2226;Green
Ipswich;Suffolk;9;1877;1956;786;2915;1869;000;000;597;Reform
Isle of Wight East;Hampshire;12;2447;1050;844;3408;1427;000;000;823;Reform
Isle of Wight West;Hampshire;12;1963;1779;1124;3143;1453;000;000;537;Reform
Islington North;Islington;11;501;2106;373;1017;3183;000;000;2819;Green
Islington South and Finsbury;Islington;11;778;2837;664;1403;3595;000;000;723;Green
Jarrow and Gateshead East;Newcastle area;3;891;2596;566;3541;1594;000;000;813;Reform
Keighley and Ilkley;West Yorkshire;5;2501;2058;526;2712;1571;000;000;632;Reform
Kenilworth and Southam;Warwickshire;7;2750;1377;1697;2428;1145;000;000;604;CON
